trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
101,False,"{'a': 0.9030295516688768, 'e': 0.3605949401730783}",25,0,-4.786203604128504,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
102,False,"{'a': 0.9021269734815165, 'e': 0.3570069605691474}",35,17,-16.745694855133202,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
103,False,"{'a': 0.9012252974212048, 'e': 0.35345468195878016}",25,0,-66.09683754814839,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
104,False,"{'a': 0.9003245225862656, 'e': 0.3499377491111553}",20,8,-24.4308066944979,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
105,False,"{'a': 0.899424648075924, 'e': 0.34645581033005746}",25,20,8.465123516577618,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.8985256729903055, 'e': 0.3430085174187067}",20,0,25.042797245160905,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
107,False,"{'a': 0.8976275964304349, 'e': 0.33959552564493917}",30,17,-26.442775598416855,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
108,False,"{'a': 0.8967304174982355, 'e': 0.33621649370673334}",20,7,-24.85446747665338,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
109,False,"{'a': 0.8958341352965282, 'e': 0.33287108369807955}",30,0,-66.85248433320488,"{0: 22, 1: 3, 2: 2, 3: 3, 4: 0}",0
110,False,"{'a': 0.894938748929031, 'e': 0.32955896107518906}",25,11,-17.451485777047832,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
111,False,"{'a': 0.8940442575003572, 'e': 0.32627979462303947}",25,1,-27.44898186196954,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
112,False,"{'a': 0.8931506601160155, 'e': 0.3230332564222529}",25,16,-37.0631162505957,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
113,False,"{'a': 0.8922579558824083, 'e': 0.3198190218163039}",20,9,5.69484487296854,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.8913661439068313, 'e': 0.3166367693790532}",35,0,-13.147243470491883,"{0: 31, 1: 0, 2: 3, 3: 1, 4: 0}",0
115,False,"{'a': 0.8904752232974726, 'e': 0.3134861808826054}",25,0,-37.90448991145051,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
116,False,"{'a': 0.8895851931634113, 'e': 0.31036694126548503}",25,15,15.614701980965638,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.8886960526146174, 'e': 0.30727873860113125}",25,0,-111.0092323594861,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 3}",0
118,False,"{'a': 0.8878078007619501, 'e': 0.3042212640667041}",20,5,-2.8654505415952496,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
119,False,"{'a': 0.8869204367171575, 'e': 0.30119421191220214}",20,0,-98.08364663646972,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
120,False,"{'a': 0.8860339595928756, 'e': 0.2981972794298874}",20,0,-13.544974513682021,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
121,False,"{'a': 0.8851483685026271, 'e': 0.2952301669240142}",25,9,18.560919061410832,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.8842636625608209, 'e': 0.2922925776808594}",35,21,16.808235076446685,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.8833798408827509, 'e': 0.28938421793905067}",20,3,-2.389568752038647,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.8824969025845955, 'e': 0.28650479686019015}",25,7,-24.341577126996516,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
125,False,"{'a': 0.8816148467834161, 'e': 0.2836540264997704}",30,0,-109.61449144272217,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
126,False,"{'a': 0.880733672597157, 'e': 0.2808316217783798}",20,8,-5.196279565426389,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.8798533791446438, 'e': 0.27803730045319414}",20,0,-27.706719088776794,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
128,False,"{'a': 0.8789739655455832, 'e': 0.27527078308975234}",25,15,18.66021626194224,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.8780954309205613, 'e': 0.2725317930340126}",25,14,-0.410381230689256,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
130,False,"{'a': 0.8772177743910435, 'e': 0.26982005638468687}",20,13,-31.1978744886618,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
131,False,"{'a': 0.8763409950793732, 'e': 0.2671353019658504}",20,9,20.84962847255516,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
