trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
128,False,"{'a': 0.8798533791446438, 'e': 0.27803730045319414}",20,7,-74.63364589946784,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 1}",1
129,False,"{'a': 0.8789739655455832, 'e': 0.27527078308975234}",30,1,-22.36562856966629,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 1}",1
130,False,"{'a': 0.8780954309205613, 'e': 0.2725317930340126}",20,1,27.0146428330928,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.8772177743910435, 'e': 0.26982005638468687}",20,1,-16.187594999885338,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
132,False,"{'a': 0.8763409950793732, 'e': 0.2671353019658504}",30,18,0.7020787544927345,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.8754650921087711, 'e': 0.26447726129982396}",20,14,9.701200556880206,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.874590064603334, 'e': 0.261845668580326}",35,24,8.4704449047125,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.8737159116880344, 'e': 0.2592402606458915}",25,13,21.950189184631345,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.8728426324887193, 'e': 0.2566607769535559}",25,14,-24.51754678335516,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
137,False,"{'a': 0.8719702261321094, 'e': 0.25410695955280027}",25,2,-40.206153605922,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 1}",1
138,False,"{'a': 0.8710986917457983, 'e': 0.2515785530597565}",20,8,9.734638895928459,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.8702280284582515, 'e': 0.2490753046316682}",25,15,8.636032123215442,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.8693582353988059, 'e': 0.24659696394160646}",30,10,1.3897280967238708,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
141,False,"{'a': 0.8684893116976679, 'e': 0.2441432831534371}",20,0,-20.61872350888339,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
142,False,"{'a': 0.867621256485914, 'e': 0.24171401689703648}",20,0,-1.4907289386981608,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
143,False,"{'a': 0.866754068895489, 'e': 0.23930892224375455}",25,19,-11.297584557977647,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
144,False,"{'a': 0.865887748059205, 'e': 0.2369277586821218}",20,0,-66.2408305872736,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
145,False,"{'a': 0.8650222931107413, 'e': 0.23457028809379768}",20,12,15.610213254160614,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.8641577031846428, 'e': 0.23223627472975886}",20,14,-1.2200167692761446,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.8632939774163194, 'e': 0.22992548518672387}",20,10,-47.40033328355793,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
148,False,"{'a': 0.8624311149420455, 'e': 0.22763768838381276}",30,18,-15.585036452776881,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
149,False,"{'a': 0.8615691148989583, 'e': 0.22537265553943875}",25,0,8.636918517870296,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
150,False,"{'a': 0.8607079764250578, 'e': 0.22313016014842985}",30,5,2.124243673564232,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",1
151,False,"{'a': 0.8598476986592055, 'e': 0.22090997795937822}",20,1,25.526969063811197,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
